Taxon	ORDER	so	Family	Br_Length
Parvipsitta_pusilla PSITTACIFORMES npass Psittaculidae 1.576116
Psitteuteles_versicolor PSITTACIFORMES npass Psittaculidae 0.248155
Lorius_garrulus PSITTACIFORMES npass Psittaculidae 3.754734
Lorius_domicella PSITTACIFORMES npass Psittaculidae 0.112142
Lorius_lory PSITTACIFORMES npass Psittaculidae 2.587265
Lorius_hypoinochrous PSITTACIFORMES npass Psittaculidae 0.101643
Lorius_albidinucha PSITTACIFORMES npass Psittaculidae 2.540813
Lorius_chlorocercus PSITTACIFORMES npass Psittaculidae 1.451591
Neopsittacus_pullicauda PSITTACIFORMES npass Psittaculidae 6.736338
Neopsittacus_musschenbroekii PSITTACIFORMES npass Psittaculidae 5.730625
Charmosyna_papou PSITTACIFORMES npass Psittaculidae 5.115031
Charmosyna_multistriata PSITTACIFORMES npass Psittaculidae 3.114616
Charmosyna_pulchella PSITTACIFORMES npass Psittaculidae 7.543223
Vini_australis PSITTACIFORMES npass Psittaculidae 1.924240
Vini_peruviana PSITTACIFORMES npass Psittaculidae 1.090826
Phigys_solitarius PSITTACIFORMES npass Psittaculidae 1.901009
Charmosyna_meeki PSITTACIFORMES npass Psittaculidae 4.766276
Charmosyna_placentis PSITTACIFORMES npass Psittaculidae 7.744420
Charmosyna_rubronotata PSITTACIFORMES npass Psittaculidae 0.057655
Oreopsittacus_arfaki PSITTACIFORMES npass Psittaculidae 2.226225
Melopsittacus_undulatus PSITTACIFORMES npass Psittaculidae 0.309539
Psittaculirostris_edwardsii PSITTACIFORMES npass Psittaculidae 3.892023
Cyclopsitta_diophthalma PSITTACIFORMES npass Psittaculidae 6.040856
Platycercus_elegans PSITTACIFORMES npass Psittaculidae 7.814143
Barnardius_zonarius PSITTACIFORMES npass Psittaculidae 1.624175
Psittrichas_fulgidus PSITTACIFORMES npass Psittaculidae 7.327221
Nestor_meridionalis PSITTACIFORMES npass Strigopidae 3.214346
Nestor_notabilis PSITTACIFORMES npass Strigopidae 0.619756
Chunga_burmeisteri CARIAMIFORMES npass Cariamidae 63.068258
Cariama_cristata CARIAMIFORMES npass Cariamidae 1.318567
Ciconia_ciconia CICONIIFORMES npass Ciconiidae 24.535959
Ciconia_nigra CICONIIFORMES npass Ciconiidae 7.695748
Leptoptilos_crumenifer CICONIIFORMES npass Ciconiidae 32.025931
Mycteria_americana CICONIIFORMES npass Ciconiidae 31.185478
Ardea_herodias PELECANIFORMES npass Ardeidae 31.848730
Egretta_garzetta PELECANIFORMES npass Ardeidae 0.093246
Ixobrychus_minutus PELECANIFORMES npass Ardeidae 7.652393
Cochlearius_cochlearius PELECANIFORMES npass Ardeidae 2.974586
Tigrisoma_lineatum PELECANIFORMES npass Ardeidae 17.531086
Balaeniceps_rex PELECANIFORMES npass Balaenicipitidae 53.972842
Pelecanus_occidentalis PELECANIFORMES npass Pelecanidae 16.005773
Pelecanus_crispus PELECANIFORMES npass Pelecanidae 0.092159
Scopus_umbretta PELECANIFORMES npass Scopidae 1.553746
Eudocimus_albus PELECANIFORMES npass Threskiornithidae 40.246258
Nipponia_nippon PELECANIFORMES npass Threskiornithidae 25.323234
Platalea_ajaja PELECANIFORMES npass Threskiornithidae 0.065277
Anhinga_anhinga SULIFORMES npass Anhingidae 51.810000
Phalacrocorax_carbo SULIFORMES npass Phalacrocoracidae 12.741947
Phalacrocorax_pelagicus SULIFORMES npass Phalacrocoracidae 1.702015
Phalacrocorax_auritus SULIFORMES npass Phalacrocoracidae 3.230672
Phalacrocorax_brasilianus SULIFORMES npass Phalacrocoracidae 0.066748
Morus_bassanus SULIFORMES npass Sulidae 9.976056
Morus_serrator SULIFORMES npass Sulidae 32.732535
Sula_leucogaster SULIFORMES npass Sulidae 9.090059
Fregata_magnificens SULIFORMES npass Fregatidae 0.102937
Phoebastria_nigripes PROCELLARIIFORMES npass Diomedeidae 55.992097
Oceanodroma_leucorhoa PROCELLARIIFORMES npass Hydrobatidae 25.620904
Oceanodroma_tethys PROCELLARIIFORMES npass Hydrobatidae 30.214823
Ardenna_grisea PROCELLARIIFORMES npass Procellariidae 32.763693
Pelecanoides_urinatrix PROCELLARIIFORMES npass Procellariidae 31.949903
Pterodroma_externa PROCELLARIIFORMES npass Procellariidae 2.803329
Fulmarus_glacialis PROCELLARIIFORMES npass Procellariidae 5.689263
