1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL		
11193	PSITTACIFORMES	Psittacidae	Poicephalus cryptoxanthus	"(Peters, W)"	1854	Ber. K. Preuss. Akad. Wiss. Berlin: 371	https://biodiversitylibrary.org/page/11068271		
11194	PSITTACIFORMES	Psittacidae	Poicephalus cryptoxanthus cryptoxanthus	"(Peters, W)"	1854	Ber. K. Preuss. Akad. Wiss. Berlin: 371	https://biodiversitylibrary.org/page/11068271		
11195	PSITTACIFORMES	Psittacidae	Poicephalus cryptoxanthus tanganyikae	Bowen	1930	Proc. Acad. Nat. Sci. Philadelphia 82: 267			
11196	PSITTACIFORMES	Psittacidae	Poicephalus crassus	(Sharpe)	1884	J. Linn. Soc. London Zool. 17: 429	https://biodiversitylibrary.org/page/31628767		
11197	PSITTACIFORMES	Psittacidae	Poicephalus senegalus	(Linnaeus)	1766	Syst. Nat. (ed. 12) 1: 149	https://biodiversitylibrary.org/page/445274		
11198	PSITTACIFORMES	Psittacidae	Poicephalus senegalus senegalus	(Linnaeus)	1766	Syst. Nat. (ed. 12) 1: 149	https://biodiversitylibrary.org/page/445274		
11199	PSITTACIFORMES	Psittacidae	Poicephalus senegalus versteri	Finsch	1863	Nederl. Tijdschr. Dierk. 1: XVI	https://biodiversitylibrary.org/page/12575577		
11200	PSITTACIFORMES	Psittacidae	Poicephalus rufiventris	(Rüppell)	1842	Mus. Senckenb. 3: 125	https://biodiversitylibrary.org/page/45886788		
11201	PSITTACIFORMES	Psittacidae	Poicephalus rufiventris rufiventris	(Rüppell)	1842	Mus. Senckenb. 3: 125	https://biodiversitylibrary.org/page/45886788		
11202	PSITTACIFORMES	Psittacidae	Poicephalus rufiventris pallidus	Van Someren	1922	Novit. Zool. 29: 47	https://biodiversitylibrary.org/page/15871060		
11203	PSITTACIFORMES	Psittacidae	Touit	"Gray, GR"	1855				
11204	PSITTACIFORMES	Psittacidae	Touit batavicus	(Boddaert)	1783	Table Planches Enlum.: 49	https://biodiversitylibrary.org/page/27822669		
11205	PSITTACIFORMES	Psittacidae	Touit huetii	(Temminck)	1830	Pl. Col. livr. 83 pl. 491			
11206	PSITTACIFORMES	Psittacidae	Touit costaricensis	(Cory)	1913	Field Mus. Nat. Hist. Pub. Orn. Ser. 1: 283	https://biodiversitylibrary.org/page/2643283		
11207	PSITTACIFORMES	Psittacidae	Touit dilectissimus	"(Sclater, PL & Salvin)"	1871	"Proc. Zool. Soc. London (1871): 782, 788 pl. 47"	https://biodiversitylibrary.org/page/28555674		
11208	PSITTACIFORMES	Psittacidae	Touit purpuratus	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 350	https://biodiversitylibrary.org/page/2896950		
11209	PSITTACIFORMES	Psittacidae	Touit purpuratus purpuratus	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 350	https://biodiversitylibrary.org/page/2896950		
11210	PSITTACIFORMES	Psittacidae	Touit purpuratus viridiceps	Chapman	1929	Am. Mus. Novit. 380: 10	http://hdl.handle.net/2246/3988		
11211	PSITTACIFORMES	Psittacidae	Touit melanonotus	(Wied-Neuwied)	1820	"Reise Brasil. 1: 273, note"	https://biodiversitylibrary.org/page/45439714		
11212	PSITTACIFORMES	Psittacidae	Touit surdus	(Kuhl)	1820	Nova Acta Acad. Caes. Leop. Carol. 10: 59	https://biodiversitylibrary.org/page/37020477		
11213	PSITTACIFORMES	Psittacidae	Touit stictopterus	"(Sclater, PL)"	1862	Proc. Zool. Soc. London (1862): 112 pl. 11	https://biodiversitylibrary.org/page/28627042		
11214	PSITTACIFORMES	Psittacidae	Psilopsiagon	Ridgway	1912				
11215	PSITTACIFORMES	Psittacidae	Psilopsiagon aymara	(d'Orbigny)	1841	"Voy. Am. merid. 2: 376, note 1"			
11216	PSITTACIFORMES	Psittacidae	Psilopsiagon aurifrons	"(Lesson, R)"	1831	Cent. Zool.: 63 pl. 18	https://biodiversitylibrary.org/page/28724552		
11217	PSITTACIFORMES	Psittacidae	Psilopsiagon aurifrons aurifrons	"(Lesson, R)"	1831	Cent. Zool.: 63 pl. 18	https://biodiversitylibrary.org/page/28724552		
11218	PSITTACIFORMES	Psittacidae	Psilopsiagon aurifrons rubrirostris	(Burmeister)	1860	J. für Orn. 8: 243	https://biodiversitylibrary.org/page/14327883		
11219	PSITTACIFORMES	Psittacidae	Psilopsiagon aurifrons robertsi	Carriker	1933	Proc. Acad. Nat. Sci. Philadelphia 85: 4			
11220	PSITTACIFORMES	Psittacidae	Psilopsiagon aurifrons margaritae	(Berlioz & Dorst)	1956	Ois. Rev. France Orn. (n.s.) 26: 85			
11221	PSITTACIFORMES	Psittacidae	Bolborhynchus	Bonaparte	1857				
11222	PSITTACIFORMES	Psittacidae	Bolborhynchus lineola	(Cassin)	1853	Proc. Acad. Nat. Sci. Philadelphia 6: 372	https://biodiversitylibrary.org/page/1779908		
11223	PSITTACIFORMES	Psittacidae	Bolborhynchus lineola lineola	(Cassin)	1853	Proc. Acad. Nat. Sci. Philadelphia 6: 372	https://biodiversitylibrary.org/page/1779908		
11224	PSITTACIFORMES	Psittacidae	Bolborhynchus lineola tigrinus	(Souancé)	1856	Rev. Mag. Zool. (Ser. 2) 8: 144	https://biodiversitylibrary.org/page/2303364		
11225	PSITTACIFORMES	Psittacidae	Bolborhynchus orbygnesius	(Souancé)	1856	Rev. Mag. Zool. (Ser. 2) 8: 63-64	https://biodiversitylibrary.org/page/2303185		
11226	PSITTACIFORMES	Psittacidae	Bolborhynchus ferrugineifrons	(Lawrence)	1880	Ibis (Ser. 4) 4: 238	https://biodiversitylibrary.org/page/31191739		
11227	PSITTACIFORMES	Psittacidae	Nannopsittaca	Ridgway	1912				
11228	PSITTACIFORMES	Psittacidae	Nannopsittaca panychlora	(Salvin & Godman)	1883	Ibis (Ser. 5) 1: 211 pl. 9 fig. 1	https://biodiversitylibrary.org/page/16243014		
11229	PSITTACIFORMES	Psittacidae	Nannopsittaca dachilleae	"O'Neill, Munn & Franke"	1991	"Auk 108: 225, 226"	https://sora.unm.edu/sites/default/files/journals/auk/v108n02/p0225-p0229.pdf		
11230	PSITTACIFORMES	Psittacidae	Myiopsitta	Bonaparte	1854				
11231	PSITTACIFORMES	Psittacidae	Myiopsitta monachus	(Boddaert)	1783	Table Planches Enlum.: 48	https://biodiversitylibrary.org/page/27822668		
11232	PSITTACIFORMES	Psittacidae	Myiopsitta monachus monachus	(Boddaert)	1783	Table Planches Enlum.: 48	https://biodiversitylibrary.org/page/27822668		
11233	PSITTACIFORMES	Psittacidae	Myiopsitta monachus cotorra	(Vieillot)	1818	Nouv. Dict. d'Hist. Nat. 25: 362	https://biodiversitylibrary.org/page/18044130		
11234	PSITTACIFORMES	Psittacidae	Myiopsitta monachus calita	(Jardine & Selby)	1830	"Ill. Orn. 2 pl. 82, text [p. 61]"	https://biodiversitylibrary.org/page/39769982		
11235	PSITTACIFORMES	Psittacidae	Myiopsitta luchsi	(Finsch)	1868	"Papageien 2: 114, 121"	https://biodiversitylibrary.org/page/33410018		
