1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL
9544	PICIFORMES	Bucconidae	Malacoptila rufa	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 52 pl. 40 fig. 1	https://biodiversitylibrary.org/page/41277687
9545	PICIFORMES	Bucconidae	Malacoptila rufa rufa	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 52 pl. 40 fig. 1	https://biodiversitylibrary.org/page/41277687
9546	PICIFORMES	Bucconidae	Malacoptila rufa brunnescens	"Zimmer, JT"	1931	Am. Mus. Novit. 500: 3	http://hdl.handle.net/2246/4240
9547	PICIFORMES	Bucconidae	Malacoptila panamensis	Lafresnaye	1847	Rev. Zool. 10: 79	https://biodiversitylibrary.org/page/2271534
9548	PICIFORMES	Bucconidae	Malacoptila panamensis inornata	(Du Bus de Gisignies)	1847	Bull. Acad. R. Sci. Lettr. Beaux-Arts Belg. 14 (2): 107	https://biodiversitylibrary.org/page/15752613
9549	PICIFORMES	Bucconidae	Malacoptila panamensis panamensis	Lafresnaye	1847	Rev. Zool. 10: 79	https://biodiversitylibrary.org/page/2271534
9550	PICIFORMES	Bucconidae	Malacoptila panamensis poliopis	"Sclater, PL"	1862	Proc. Zool. Soc. London (1862): 86 pl. 8	https://biodiversitylibrary.org/page/28627008
9551	PICIFORMES	Bucconidae	Malacoptila panamensis magdalenae	Todd	1943	Ann. Carnegie Mus. Nat. Hist. 30: 15	https://biodiversitylibrary.org/page/52336853
9552	PICIFORMES	Bucconidae	Malacoptila mystacalis	(Lafresnaye)	1850	Rev. Mag. Zool. (Ser. 2) 2: 215	https://biodiversitylibrary.org/page/2340082
9553	PICIFORMES	Bucconidae	Micromonacha	"Sclater, PL"	1881		
9554	PICIFORMES	Bucconidae	Micromonacha lanceolata	(Deville)	1849	Rev. Mag. Zool. (Ser. 2) 1: 56	https://biodiversitylibrary.org/page/2343297
9555	PICIFORMES	Bucconidae	Nonnula	"Sclater, PL"	1854		
9556	PICIFORMES	Bucconidae	Nonnula rubecula	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 51 pl. 39 fig. 1	https://biodiversitylibrary.org/page/41277648
9557	PICIFORMES	Bucconidae	Nonnula rubecula rubecula	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 51 pl. 39 fig. 1	https://biodiversitylibrary.org/page/41277648
9558	PICIFORMES	Bucconidae	Nonnula rubecula cineracea	"Sclater, PL"	1881	Proc. Zool. Soc. London (1881): 778	https://biodiversitylibrary.org/page/30760005
9559	PICIFORMES	Bucconidae	Nonnula rubecula duidae	Chapman	1914	Bull. Am. Mus. Nat. Hist. 33: 195	http://hdl.handle.net/2246/820
9560	PICIFORMES	Bucconidae	Nonnula rubecula simplex	Todd	1937	Ann. Carnegie Mus. Nat. Hist. 25: 245	https://biodiversitylibrary.org/page/52377481
9561	PICIFORMES	Bucconidae	Nonnula rubecula tapanahoniensis	Mees	1968	Gerfaut 58: 102	
9562	PICIFORMES	Bucconidae	Nonnula rubecula interfluvialis	Parkes	1970	Bull. B.O.C. 90: 155	https://biodiversitylibrary.org/page/40817109
9563	PICIFORMES	Bucconidae	Nonnula rubecula simulatrix	Parkes	1970	Bull. B.O.C. 90: 155	https://biodiversitylibrary.org/page/40817109
9564	PICIFORMES	Bucconidae	Nonnula sclateri	Hellmayr	1907	Bull. B.O.C. 19: 55	https://biodiversitylibrary.org/page/32433137
9565	PICIFORMES	Bucconidae	Nonnula brunnea	"Sclater, PL"	1881	Ibis (Ser. 4) 5: 600	https://biodiversitylibrary.org/page/16251881
9566	PICIFORMES	Bucconidae	Nonnula frontalis	"(Sclater, PL)"	1854	Ann. Mag. Nat. Hist. (Ser. 2) 13: 479	https://biodiversitylibrary.org/page/22193811
9567	PICIFORMES	Bucconidae	Nonnula frontalis frontalis	"(Sclater, PL)"	1854	Ann. Mag. Nat. Hist. (Ser. 2) 13: 479	https://biodiversitylibrary.org/page/22193811
9568	PICIFORMES	Bucconidae	Nonnula frontalis pallescens	Todd	1919	Proc. Biol. Soc. Wash. 32: 116	https://biodiversitylibrary.org/page/3335272
9569	PICIFORMES	Bucconidae	Nonnula frontalis stulta	Wetmore	1953	Smiths. Misc. Coll. 122 (8): 3	https://biodiversitylibrary.org/page/16352144
9570	PICIFORMES	Bucconidae	Nonnula ruficapilla	(Tschudi)	1844	Arch. Naturgesch. 10: 300	https://biodiversitylibrary.org/page/13704203
9571	PICIFORMES	Bucconidae	Nonnula ruficapilla ruficapilla	(Tschudi)	1844	Arch. Naturgesch. 10: 300	https://biodiversitylibrary.org/page/13704203
9572	PICIFORMES	Bucconidae	Nonnula ruficapilla nattereri	Hellmayr	1921	Anz. Orn. Ges. Bayern 1: 42	https://biodiversitylibrary.org/page/43054343
9573	PICIFORMES	Bucconidae	Nonnula ruficapilla rufipectus	Chapman	1928	Am. Mus. Novit. 332: 8	http://hdl.handle.net/2246/3734
9574	PICIFORMES	Bucconidae	Nonnula ruficapilla inundata	Novaes	1991	Bull. B.O.C. 111: 187	https://biodiversitylibrary.org/page/40027656
9575	PICIFORMES	Bucconidae	Nonnula amaurocephala	Chapman	1921	Am. Mus. Novit. 2: 2	http://hdl.handle.net/2246/4603
9576	PICIFORMES	Bucconidae	Hapaloptila	"Sclater, PL"	1881		
9577	PICIFORMES	Bucconidae	Hapaloptila castanea	"(Verreaux, J)"	1866	Rev. Mag. Zool. (Ser. 2) 18: 355 pl. 19	https://biodiversitylibrary.org/page/2714840
9578	PICIFORMES	Bucconidae	Monasa	Vieillot	1816		
9579	PICIFORMES	Bucconidae	Monasa atra	(Boddaert)	1783	Table Planches Enlum.: 30	https://biodiversitylibrary.org/page/27822631
9580	PICIFORMES	Bucconidae	Monasa nigrifrons	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 53 pl. 43 fig. 2	https://biodiversitylibrary.org/page/41277688
9581	PICIFORMES	Bucconidae	Monasa nigrifrons nigrifrons	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 53 pl. 43 fig. 2	https://biodiversitylibrary.org/page/41277688
9582	PICIFORMES	Bucconidae	Monasa nigrifrons canescens	Todd	1937	Ann. Carnegie Mus. Nat. Hist. 25: 247	https://biodiversitylibrary.org/page/52377483
