1	ORDER	FAMILY	TAXON	AUTHORITY	TYPE SPECIES	YEAR	REFERENCE	URL
87	TINAMIFORMES	Tinamidae	Crypturellus soui caucae	(Chapman)		1912	Bull. Am. Mus. Nat. Hist. 31: 141	http://hdl.handle.net/2246/1749
88	TINAMIFORMES	Tinamidae	Crypturellus soui harterti	"(Brabourne & Chubb, C)"		1914	"Ann. Mag. Nat. Hist. (Ser. 8) 14: 319, 321"	https://biodiversitylibrary.org/page/18616554
89	TINAMIFORMES	Tinamidae	Crypturellus soui caquetae	(Chapman)		1915	Bull. Am. Mus. Nat. Hist. 34: 635	http://hdl.handle.net/2246/1752
90	TINAMIFORMES	Tinamidae	Crypturellus soui nigriceps	(Chapman)		1923	Am. Mus. Novit. 96: 1	http://hdl.handle.net/2246/4598
91	TINAMIFORMES	Tinamidae	Crypturellus soui albigularis	"(Brabourne & Chubb, C)"		1914	"Ann. Mag. Nat. Hist. (Ser. 8) 14: 319, 320"	https://biodiversitylibrary.org/page/18616554
92	TINAMIFORMES	Tinamidae	Crypturellus soui inconspicuus	Carriker		1935	Proc. Acad. Nat. Sci. Philadelphia 87: 315	https://www.jstor.org/stable/4064218
93	TINAMIFORMES	Tinamidae	Crypturellus ptaritepui	"Zimmer, JT & Phelps"		1945	Am. Mus. Novit. 1274: 1	http://hdl.handle.net/2246/2300
94	TINAMIFORMES	Tinamidae	Crypturellus obsoletus	(Temminck)		1815	"Hist. Nat. Pig. Gallin. 3: 588, 751"	https://biodiversitylibrary.org/page/43752801
95	TINAMIFORMES	Tinamidae	Crypturellus obsoletus cerviniventris	"(Sclater, PL & Salvin)"		1873	Proc. Zool. Soc. London (1873): 512	https://biodiversitylibrary.org/page/28504773
96	TINAMIFORMES	Tinamidae	Crypturellus obsoletus knoxi	Phelps Jr		1976	Bol. Soc. Venez. Cienc. Nat. 32: 16	
97	TINAMIFORMES	Tinamidae	Crypturellus obsoletus castaneus	"(Sclater, PL)"		1858	Proc. Zool. Soc. London pt 27: 277	https://biodiversitylibrary.org/page/12861353
98	TINAMIFORMES	Tinamidae	Crypturellus obsoletus ochraceiventris	(Stolzmann)		1926	Ann. Zool. Polon. Hist. Nat. 5: 199	
99	TINAMIFORMES	Tinamidae	Crypturellus obsoletus traylori	Blake		1961	Fieldiana Zool. 39: 573	https://biodiversitylibrary.org/page/2848519
100	TINAMIFORMES	Tinamidae	Crypturellus obsoletus punensis	"(Chubb, C)"		1918	Bull. B.O.C. 38: 30	https://biodiversitylibrary.org/page/32431088
101	TINAMIFORMES	Tinamidae	Crypturellus obsoletus griseiventris	(Salvadori)		1895	"Cat. Birds Brit. Mus. 27: 514, 521"	https://biodiversitylibrary.org/page/8394119
102	TINAMIFORMES	Tinamidae	Crypturellus obsoletus hypochraceus	(Miranda-Ribeiro)		1938	Rev. Mus. Paulista 23 [1937]: 763	
103	TINAMIFORMES	Tinamidae	Crypturellus obsoletus obsoletus	(Temminck)		1815	"Hist. Nat. Pig. Gallin. 3: 588, 751"	https://biodiversitylibrary.org/page/43752801
104	TINAMIFORMES	Tinamidae	Crypturellus undulatus	(Temminck)		1815	"Hist. Nat. Pig. Gallin. 3: 582, 751"	https://biodiversitylibrary.org/page/43752795
105	TINAMIFORMES	Tinamidae	Crypturellus undulatus manapiare	Phelps & Phelps Jr		1952	Proc. Biol. Soc. Wash. 65: 39	https://biodiversitylibrary.org/page/34567143
106	TINAMIFORMES	Tinamidae	Crypturellus undulatus simplex	(Salvadori)		1895	"Cat. Birds Brit. Mus. 27: 516, 531"	https://biodiversitylibrary.org/page/8394121
107	TINAMIFORMES	Tinamidae	Crypturellus undulatus yapura	(Spix)		1825	Av. Sp. Nov. Brasil. 2: 62 pl. 78	https://biodiversitylibrary.org/page/41278017
108	TINAMIFORMES	Tinamidae	Crypturellus undulatus adspersus	(Temminck)		1815	"Hist. Nat. Pig. Gallin. 3: 585, 751"	https://biodiversitylibrary.org/page/43752798
109	TINAMIFORMES	Tinamidae	Crypturellus undulatus vermiculatus	(Temminck)		1825	Pl. Col. livr. 62 pl. 369	
110	TINAMIFORMES	Tinamidae	Crypturellus undulatus undulatus	(Temminck)		1815	"Hist. Nat. Pig. Gallin. 3: 582, 751"	https://biodiversitylibrary.org/page/43752795
111	TINAMIFORMES	Tinamidae	Crypturellus transfasciatus	"(Sclater, PL & Salvin)"		1878	Proc. Zool. Soc. London (1878): 141 pl. 13	https://biodiversitylibrary.org/page/28511357
112	TINAMIFORMES	Tinamidae	Crypturellus strigulosus	(Temminck)		1815	"Hist. Nat. Pig. Gallin. 3: 594, 752"	https://biodiversitylibrary.org/page/43752807
113	TINAMIFORMES	Tinamidae	Crypturellus duidae	"Zimmer, JT"		1938	Proc. Biol. Soc. Wash. 51: 48	https://biodiversitylibrary.org/page/34510001
114	TINAMIFORMES	Tinamidae	Crypturellus erythropus	(Pelzeln)		1863	"Verh. k. k. Zool.-Bot. Ges. Wien 13: 1127, 1129"	https://biodiversitylibrary.org/page/26722822
115	TINAMIFORMES	Tinamidae	Crypturellus erythropus cursitans	Wetmore & Phelps Jr		1956	Proc. Biol. Soc. Wash. 69: 1	https://biodiversitylibrary.org/page/34549705
116	TINAMIFORMES	Tinamidae	Crypturellus erythropus idoneus	(Todd)		1919	Proc. Biol. Soc. Wash. 32: 117	https://biodiversitylibrary.org/page/3335074
117	TINAMIFORMES	Tinamidae	Crypturellus erythropus columbianus	(Salvadori)		1895	"Cat. Birds Brit. Mus. 27: 517, 545"	https://biodiversitylibrary.org/page/8394122
118	TINAMIFORMES	Tinamidae	Crypturellus erythropus saltuarius	Wetmore		1950	Proc. Biol. Soc. Wash. 63: 171	https://biodiversitylibrary.org/page/35879103
119	TINAMIFORMES	Tinamidae	Crypturellus erythropus spencei	"(Brabourne & Chubb, C)"		1914	"Ann. Mag. Nat. Hist. (Ser. 8) 14: 320, 322"	https://biodiversitylibrary.org/page/18616555
120	TINAMIFORMES	Tinamidae	Crypturellus erythropus margaritae	Phelps & Phelps Jr		1948	Bol. Soc. Venez. Cienc. Nat. 11: 57	
121	TINAMIFORMES	Tinamidae	Crypturellus erythropus erythropus	(Pelzeln)		1863	"Verh. k. k. Zool.-Bot. Ges. Wien 13: 1127, 1129"	https://biodiversitylibrary.org/page/26722822
122	TINAMIFORMES	Tinamidae	Crypturellus noctivagus	(Wied-Neuwied)		1820	"Reise Brasil. 1: 158, note"	https://biodiversitylibrary.org/page/45439599
123	TINAMIFORMES	Tinamidae	Crypturellus noctivagus zabele	(Spix)		1825	Av. Sp. Nov. Brasil. 2: 62 pl. 77	https://biodiversitylibrary.org/page/41278017
124	TINAMIFORMES	Tinamidae	Crypturellus noctivagus noctivagus	(Wied-Neuwied)		1820	"Reise Brasil. 1: 158, note"	https://biodiversitylibrary.org/page/45439599
125	TINAMIFORMES	Tinamidae	Crypturellus atrocapillus	(Tschudi)		1844	Arch. Naturgesch. 10: 307	https://biodiversitylibrary.org/page/13704210
126	TINAMIFORMES	Tinamidae	Crypturellus atrocapillus atrocapillus	(Tschudi)		1844	Arch. Naturgesch. 10: 307	https://biodiversitylibrary.org/page/13704210
127	TINAMIFORMES	Tinamidae	Crypturellus atrocapillus garleppi	(Berlepsch)		1892	Jahr. Allgem. Deutsch. Orn. Ges.: 13	
128	TINAMIFORMES	Tinamidae	Crypturellus cinnamomeus	"(Lesson, PA)"		1842	Rev. Zool. 5: 210	https://biodiversitylibrary.org/page/14714739
129	TINAMIFORMES	Tinamidae	Crypturellus cinnamomeus occidentalis	(Salvadori)		1895	"Cat. Birds Brit. Mus. 27: 516, 546"	https://biodiversitylibrary.org/page/8394121
130	TINAMIFORMES	Tinamidae	Crypturellus cinnamomeus mexicanus	(Salvadori)		1895	"Cat. Birds Brit. Mus. 27: 516, 545"	https://biodiversitylibrary.org/page/8394121
131	TINAMIFORMES	Tinamidae	Crypturellus cinnamomeus soconuscensis	Brodkorb		1939	Occ. Pap. Mus. Zool. U. Michigan no. 401: 1	http://hdl.handle.net/2027.42/56840
132	TINAMIFORMES	Tinamidae	Crypturellus cinnamomeus vicinior	Conover		1933	Proc. Biol. Soc. Wash. 46: 115	https://biodiversitylibrary.org/page/34560849
133	TINAMIFORMES	Tinamidae	Crypturellus cinnamomeus sallaei	(Bonaparte)		1856	Compt. Rend. 42: 954	https://biodiversitylibrary.org/page/1212768
134	TINAMIFORMES	Tinamidae	Crypturellus cinnamomeus goldmani	(Nelson)		1901	Proc. Biol. Soc. Wash. 14: 169	https://biodiversitylibrary.org/page/3793156
135	TINAMIFORMES	Tinamidae	Crypturellus cinnamomeus cinnamomeus	"(Lesson, PA)"		1842	Rev. Zool. 5: 210	https://biodiversitylibrary.org/page/14714739
136	TINAMIFORMES	Tinamidae	Crypturellus cinnamomeus delattrii	(Bonaparte)		1854	Compt. Rend. 38: 663	https://biodiversitylibrary.org/page/1216339
137	TINAMIFORMES	Tinamidae	Crypturellus cinnamomeus praepes	"(Bangs & Peters, JL)"		1927	Bull. Mus. Comp. Zool. 67: 472	https://biodiversitylibrary.org/page/2798656
138	TINAMIFORMES	Tinamidae	Crypturellus boucardi	"(Sclater, PL)"		1860	"Proc. Zool. Soc. London, pt 27: 391, 392"	https://biodiversitylibrary.org/page/32274805
139	TINAMIFORMES	Tinamidae	Crypturellus boucardi boucardi	"(Sclater, PL)"		1860	"Proc. Zool. Soc. London, pt 27: 391, 392"	https://biodiversitylibrary.org/page/32274805
140	TINAMIFORMES	Tinamidae	Crypturellus boucardi costaricensis	(Dwight & Griscom)		1924	Am. Mus. Novit. 142: 1	http://hdl.handle.net/2246/4377
141	TINAMIFORMES	Tinamidae	Crypturellus kerriae	(Chapman)		1915	Bull. Am. Mus. Nat. Hist. 34: 636	http://hdl.handle.net/2246/1752
142	TINAMIFORMES	Tinamidae	Crypturellus variegatus	"(Gmelin, JF)"		1789	Syst. Nat. (ed. 12) 1: 768	https://biodiversitylibrary.org/page/2656263
143	TINAMIFORMES	Tinamidae	Crypturellus brevirostris	(Pelzeln)		1863	"Verh. k. k. Zool.-Bot. Ges. Wien 13: 1128, 1130"	https://biodiversitylibrary.org/page/26722823
144	TINAMIFORMES	Tinamidae	Crypturellus bartletti	"(Sclater, PL & Salvin)"		1873	Proc. Zool. Soc. London (1873): 311	https://biodiversitylibrary.org/page/28504536
145	TINAMIFORMES	Tinamidae	Crypturellus parvirostris	(Wagler)		1827	"Syst. Av. Crypturus: sp. 13, p. 295"	https://biodiversitylibrary.org/page/54130812
146	TINAMIFORMES	Tinamidae	Crypturellus casiquiare	(Chapman)		1929	Am. Mus. Novit. 380: 3	http://hdl.handle.net/2246/3988
147	TINAMIFORMES	Tinamidae	Crypturellus tataupa	(Temminck)		1815	"Hist. Nat. Pig. Gallin. 3: 590, 752"	https://biodiversitylibrary.org/page/43752803
148	TINAMIFORMES	Tinamidae	Crypturellus tataupa inops	Bangs & Noble		1918	Auk 35: 445	https://sora.unm.edu/sites/default/files/journals/auk/v035n04/p0442-p0463.pdf
149	TINAMIFORMES	Tinamidae	Crypturellus tataupa lepidotus	(Swainson)		1837	Class. Birds 2: 345	https://biodiversitylibrary.org/page/53428609
150	TINAMIFORMES	Tinamidae	Crypturellus tataupa peruvianus	(Cory)		1915	Field Mus. Nat. Hist. Pub. Orn. Ser. 1: 293	https://biodiversitylibrary.org/page/2650653
151	TINAMIFORMES	Tinamidae	Crypturellus tataupa tataupa	(Temminck)		1815	"Hist. Nat. Pig. Gallin. 3: 590, 752"	https://biodiversitylibrary.org/page/43752803
152	TINAMIFORMES	Tinamidae	Rhynchotus	Spix	1.000	1825		
153	TINAMIFORMES	Tinamidae	Rhynchotus rufescens	(Temminck)		1815	"Hist. Nat. Pig. Gallin. 3: 552, 747"	https://biodiversitylibrary.org/page/43752765
154	TINAMIFORMES	Tinamidae	Rhynchotus rufescens catingae	Reiser		1905	Anz. Akad. Wiss. Wien 42: 324	https://biodiversitylibrary.org/page/28099729
155	TINAMIFORMES	Tinamidae	Rhynchotus rufescens pallescens	Kothe		1907	J. für Orn. 55: 164	https://biodiversitylibrary.org/page/33567531
156	TINAMIFORMES	Tinamidae	Rhynchotus rufescens rufescens	(Temminck)		1815	"Hist. Nat. Pig. Gallin. 3: 552, 747"	https://biodiversitylibrary.org/page/43752765
157	TINAMIFORMES	Tinamidae	Rhynchotus maculicollis	"Gray, GR"		1867	List Birds Brit. Mus. 5: 102	https://biodiversitylibrary.org/page/19060625
158	TINAMIFORMES	Tinamidae	Nothoprocta	"Sclater, PL & Salvin"	1.000	1873		
159	TINAMIFORMES	Tinamidae	Nothoprocta taczanowskii	"Sclater, PL & Salvin"		1875	Proc. Zool. Soc. London (1874): 679 pl. 84	https://biodiversitylibrary.org/page/28502892
160	TINAMIFORMES	Tinamidae	Nothoprocta ornata	"(Gray, GR)"		1867	List Birds Brit. Mus. 5: 102	https://biodiversitylibrary.org/page/19060625
161	TINAMIFORMES	Tinamidae	Nothoprocta ornata branickii	Taczanowski		1875	Proc. Zool. Soc. London (1874): 563	https://biodiversitylibrary.org/page/28502738
162	TINAMIFORMES	Tinamidae	Nothoprocta ornata ornata	"(Gray, GR)"		1867	List Birds Brit. Mus. 5: 102	https://biodiversitylibrary.org/page/19060625
163	TINAMIFORMES	Tinamidae	Nothoprocta ornata rostrata	Berlepsch		1907	Ornis 14: 371	https://biodiversitylibrary.org/page/34039593
