1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL										
7876	STRIGIFORMES	Strigidae	Ninox novaeseelandiae novaeseelandiae	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 296	https://biodiversitylibrary.org/page/2896896										
7877	STRIGIFORMES	Strigidae	Ninox novaeseelandiae undulata	(Latham)	1801	Suppl. ind. orn.: xvii	https://biodiversitylibrary.org/page/33261391										
7878	STRIGIFORMES	Strigidae	Ninox novaeseelandiae albaria †	"Ramsay, EP"	1888	Tab. List Austral. Birds: 36	https://biodiversitylibrary.org/page/14024363										
7879	STRIGIFORMES	Strigidae	Ninox japonica	(Temminck & Schlegel)	1845	Fauna Jap. Aves 4: 28 pl. 9B	https://biodiversitylibrary.org/page/53188708										
7880	STRIGIFORMES	Strigidae	Ninox japonica florensis	(Wallace)	1864	Proc. Zool. Soc. London (1863): 488	https://biodiversitylibrary.org/page/30681848										
7881	STRIGIFORMES	Strigidae	Ninox japonica japonica	(Temminck & Schlegel)	1845	Fauna Jap. Aves 4: 28 pl. 9B	https://biodiversitylibrary.org/page/53188708										
7882	STRIGIFORMES	Strigidae	Ninox japonica totogo	Momiyama	1931	"Amoeba, Tokyo 3: 68"											
7883	STRIGIFORMES	Strigidae	Ninox scutulata	(Raffles)	1822	Trans. Linn. Soc. London (Ser. 1) 13: 280	https://biodiversitylibrary.org/page/755026										
7884	STRIGIFORMES	Strigidae	Ninox scutulata lugubris	(Tickell)	1833	J. Asiat. Soc. Bengal 2: 572	https://biodiversitylibrary.org/page/37179072										
7885	STRIGIFORMES	Strigidae	Ninox scutulata burmanica	Hume	1876	Stray Feathers 4: 285	https://biodiversitylibrary.org/page/30028173										
7886	STRIGIFORMES	Strigidae	Ninox scutulata hirsuta	(Temminck)	1824	Pl. Col. livr. 49 pl. 289											
7887	STRIGIFORMES	Strigidae	Ninox scutulata isolata	"Baker, ECS"	1926	Bull. B.O.C. 47: 60											
7888	STRIGIFORMES	Strigidae	Ninox scutulata rexpimenti	Abdulali	1979	J. Bombay Nat. Hist. Soc. 75: 760	https://biodiversitylibrary.org/page/48296945										
7889	STRIGIFORMES	Strigidae	Ninox scutulata scutulata	(Raffles)	1822	Trans. Linn. Soc. London (Ser. 1) 13: 280	https://biodiversitylibrary.org/page/755026										
7890	STRIGIFORMES	Strigidae	Ninox scutulata javanensis	Stresemann	1928	Orn. Monatsb. 36: 54											
7891	STRIGIFORMES	Strigidae	Ninox scutulata borneensis	(Bonaparte)	1850	Consp. Gen. Av. 1: 41	https://biodiversitylibrary.org/page/43560066										
7892	STRIGIFORMES	Strigidae	Ninox scutulata palawanensis	Ripley & Rabor	1962	Postilla 73: 4	https://biodiversitylibrary.org/page/12114272										
7893	STRIGIFORMES	Strigidae	Ninox obscura	Hume	1872	Stray Feathers 1: 11	https://biodiversitylibrary.org/page/30006929										
7894	STRIGIFORMES	Strigidae	Ninox randi	Deignan	1951	Proc. Biol. Soc. Wash. 64: 41	https://biodiversitylibrary.org/page/34566929										
