Taxon ORDER Family TBrLenx1000
_Zonotrichia_atricapilla PASSERIFORMES oscines_Emberizidae 0.0022933
_Passerella_iliaca PASSERIFORMES oscines_Emberizidae 0.0022558
_Spizelloides_arborea PASSERIFORMES oscines_Emberizidae 0.0021748
_Arremon_aurantiirostris PASSERIFORMES oscines_Emberizidae 0.0020128
_Arremon_brunneinucha PASSERIFORMES oscines_Emberizidae 0.0020128
_Chlorospingus_flavopectus PASSERIFORMES oscines_Emberizidae 0.0022939
_Spizella_atrogularis PASSERIFORMES oscines_Emberizidae 0.0024411
_Calamospiza_melanocorys PASSERIFORMES oscines_Emberizidae 0.0020128
_Chondestes_grammacus PASSERIFORMES oscines_Emberizidae 0.683442
_Amphispiza_bilineata PASSERIFORMES oscines_Emberizidae 0.0027467
_Fringilla_coelebs PASSERIFORMES oscines_Fringillidae 0.0020128
_Fringilla_montifringilla PASSERIFORMES oscines_Fringillidae 0.0028448
_Passer_montanus PASSERIFORMES oscines_Passeridae 0.0020395
_Vidua_macroura PASSERIFORMES oscines_Viduidae 0.002452
_Vidua_chalybeata PASSERIFORMES oscines_Viduidae 0.0021683
_Taeniopygia_guttata PASSERIFORMES oscines_Estrildidae 0.0025819
_Ploceus_cucullatus PASSERIFORMES oscines_Ploceidae 0.0022091
_Chloropsis_sonnerati PASSERIFORMES oscines_Chloropseidae 0.00245
_Leptocoma_sperata PASSERIFORMES oscines_Nectariniidae 0.742057
_Aethopyga_pulcherrima PASSERIFORMES oscines_Nectariniidae 0.0027767
_Anthreptes_rectirostris PASSERIFORMES oscines_Nectariniidae 0.0020847
_Arachnothera_robusta PASSERIFORMES oscines_Nectariniidae 0.743669
_Arachnothera_crassirostris PASSERIFORMES oscines_Nectariniidae 0.0021908
_Arachnothera_longirostra PASSERIFORMES oscines_Nectariniidae 0.744959
_Arachnothera_dilutior PASSERIFORMES oscines_Nectariniidae 0.0020128
_Arachnothera_flammifera PASSERIFORMES oscines_Nectariniidae 0.0022907
_Arachnothera_chrysogenys PASSERIFORMES oscines_Nectariniidae 1.58935
_Arachnothera_clarae PASSERIFORMES oscines_Nectariniidae 0.0025603
_Arachnothera_magna PASSERIFORMES oscines_Nectariniidae 0.782658
_Arachnothera_modesta PASSERIFORMES oscines_Nectariniidae 0.0021928
