Taxon ORDER Family TermBrLength
Glossopsitta_concinna PSITTACIFORMES Psittaculidae 0.0000020415
Trichoglossus_ornatus PSITTACIFORMES Psittaculidae 0.0000020190
Trichoglossus_flavoviridis PSITTACIFORMES Psittaculidae 0.0000020128
Psitteuteles_iris PSITTACIFORMES Psittaculidae 0.0023818191
Trichoglossus_johnstoniae PSITTACIFORMES Psittaculidae 0.0005643671
Eos_bornea PSITTACIFORMES Psittaculidae 0.0006446623
Eos_semilarvata PSITTACIFORMES Psittaculidae 0.0009053194
Eos_squamata PSITTACIFORMES Psittaculidae 0.0007034308
Eos_histrio PSITTACIFORMES Psittaculidae 0.0009045811
Eos_cyanogenia PSITTACIFORMES Psittaculidae 0.0000022247
Eos_reticulata PSITTACIFORMES Psittaculidae 0.0008788131
Trichoglossus_haematodus PSITTACIFORMES Psittaculidae 0.0000027699
Trichoglossus_rosenbergii PSITTACIFORMES Psittaculidae 0.0000024577
Trichoglossus_euteles PSITTACIFORMES Psittaculidae 0.0005538801
Trichoglossus_weberi PSITTACIFORMES Psittaculidae 0.0000029424
Trichoglossus_capistratus PSITTACIFORMES Psittaculidae 0.0000020128
Trichoglossus_forsteni PSITTACIFORMES Psittaculidae 0.0000020128
Trichoglossus_rubritorquis PSITTACIFORMES Psittaculidae 0.0000020435
Trichoglossus_moluccanus PSITTACIFORMES Psittaculidae 0.0000020426
Trichoglossus_chlorolepidotus PSITTACIFORMES Psittaculidae 0.0000027131
Trichoglossus_rubiginosus PSITTACIFORMES Psittaculidae 0.0017885975
Psitteuteles_goldiei PSITTACIFORMES Psittaculidae 0.0006049359
Pseudeos_fuscata PSITTACIFORMES Psittaculidae 0.0011731983
Pseudeos_cardinalis PSITTACIFORMES Psittaculidae 0.0000023027
Chalcopsitta_scintillata PSITTACIFORMES Psittaculidae 0.0000020879
Chalcopsitta_atra PSITTACIFORMES Psittaculidae 0.0005870582
Chalcopsitta_duivenbodei PSITTACIFORMES Psittaculidae 0.0000020244
Parvipsitta_porphyrocephala PSITTACIFORMES Psittaculidae 0.0000027471
Parvipsitta_pusilla PSITTACIFORMES Psittaculidae 0.0000020535
Psitteuteles_versicolor PSITTACIFORMES Psittaculidae 0.0000026198
Lorius_lory PSITTACIFORMES Psittaculidae 0.0000020128
Lorius_hypoinochrous PSITTACIFORMES Psittaculidae 0.0000020128
Lorius_garrulus PSITTACIFORMES Psittaculidae 0.0000020128
Lorius_domicella PSITTACIFORMES Psittaculidae 0.0000029519
Lorius_albidinucha PSITTACIFORMES Psittaculidae 0.0000028488
Lorius_chlorocercus PSITTACIFORMES Psittaculidae 0.0000020128
Charmosyna_pulchella PSITTACIFORMES Psittaculidae 0.0021045319
Charmosyna_toxopei PSITTACIFORMES Psittaculidae 0.0000024089
Vini_australis PSITTACIFORMES Psittaculidae 0.0000020612
Vini_peruviana PSITTACIFORMES Psittaculidae 0.0000026775
Vini_kuhlii PSITTACIFORMES Psittaculidae 0.0000026724
Vini_stepheni PSITTACIFORMES Psittaculidae 0.0000028861
Vini_ultramarina PSITTACIFORMES Psittaculidae 0.0000020806
Phigys_solitarius PSITTACIFORMES Psittaculidae 0.0000020128
Charmosyna_amabilis PSITTACIFORMES Psittaculidae 0.0000023326
Charmosyna_palmarum PSITTACIFORMES Psittaculidae 0.0000025676
Charmosyna_meeki PSITTACIFORMES Psittaculidae 0.0027227440
Charmosyna_rubrigularis PSITTACIFORMES Psittaculidae 0.0000023346
Charmosyna_margarethae PSITTACIFORMES Psittaculidae 0.0000025081
Charmosyna_papou PSITTACIFORMES Psittaculidae 0.0000021717
Charmosyna_josefinae PSITTACIFORMES Psittaculidae 0.0018036023
Charmosyna_multistriata PSITTACIFORMES Psittaculidae 0.0000022460
Charmosyna_placentis PSITTACIFORMES Psittaculidae 0.0000020128
Charmosyna_rubronotata PSITTACIFORMES Psittaculidae 0.0000022905
Charmosyna_wilhelminae PSITTACIFORMES Psittaculidae 0.0000023604
Melopsittacus_undulatus PSITTACIFORMES Psittaculidae 0.0000023283
Cyclopsitta_diophthalma PSITTACIFORMES Psittaculidae 0.0000021241
Psittaculirostris_edwardsii PSITTACIFORMES Psittaculidae 0.0000021306
Psittacula_alexandri PSITTACIFORMES Psittaculidae 0.0000020128
Alisterus_scapularis PSITTACIFORMES Psittaculidae 0.0000020128
Micropsitta_finschii PSITTACIFORMES Psittaculidae 0.0000021284
Psittrichas_fulgidus PSITTACIFORMES Psittaculidae 0.0000025672
Amazona_autumnalis PSITTACIFORMES Psittacidae 0.0000024208
Ara_macao PSITTACIFORMES Psittacidae 0.0000020128
Deroptyus_accipitrinus PSITTACIFORMES Psittacidae 0.0000028530
Psittacus_erithacus PSITTACIFORMES Psittacidae 0.0000025803
Cacatua_sulphurea PSITTACIFORMES Cacatuidae 0.0000020128
Probosciger_aterrimus PSITTACIFORMES Cacatuidae 0.0000020128
Nestor_meridionalis PSITTACIFORMES Strigopidae 0.0000025913
Nestor_notabilis PSITTACIFORMES Strigopidae 0.0000020131
Falco_mexicanus FALCONIFORMES Falconidae 0.0000027830
Falco_cherrug FALCONIFORMES Falconidae 0.0000020128
Falco_peregrinus FALCONIFORMES Falconidae 0.0000020128
Falco_sparverius FALCONIFORMES Falconidae 0.0000029776
Daptrius_ater FALCONIFORMES Falconidae 0.0000026843
Ibycter_americanus FALCONIFORMES Falconidae 0.0000026011
Caracara_cheriway FALCONIFORMES Falconidae 0.0000020733
Herpetotheres_cachinnans FALCONIFORMES Falconidae 0.0000024535
Micrastur_semitorquatus FALCONIFORMES Falconidae 0.0000027200
Micrastur_gilvicollis FALCONIFORMES Falconidae 0.0000026222
Cariama_cristata CARIAMIFORMES Cariamidae 0.0000022685
Chunga_burmeisteri CARIAMIFORMES Cariamidae 0.0000029225
Dryocopus_pileatus PICIFORMES Picidae 0.0000026238
Picus_canus PICIFORMES Picidae 0.0000022621
Sphyrapicus_varius PICIFORMES Picidae 0.0000023695
Dryobates_pubescens PICIFORMES Picidae 0.0000023570
Jynx_torquilla PICIFORMES Picidae 0.0000020128
Jynx_ruficollis PICIFORMES Picidae 0.0000020128
Indicator_exilis PICIFORMES Indicatoridae 0.0000021602
Indicator_maculatus PICIFORMES Indicatoridae 0.0000027514
Prodotiscus_insignis PICIFORMES Indicatoridae 0.0000022394
Capito_niger PICIFORMES Capitonidae 0.0000020128
Ramphastos_ambiguus PICIFORMES Ramphastidae 0.0000020128
Pogoniulus_bilineatus PICIFORMES Lybiidae 0.0000020128
Buccanodon_duchaillui PICIFORMES Lybiidae 0.0000028542
Psilopogon_virens PICIFORMES Megalaimidae 0.0000025910
Psilopogon_chrysopogon PICIFORMES Megalaimidae 0.0000020128
Bucco_capensis PICIFORMES Bucconidae 0.0000026717
Bucco_macrodactylus PICIFORMES Bucconidae 0.0000027765
